song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot
Otherside,Red Hot Chili Peppers,0.458,0.795,0.0,-3.265,1.0,0.0574,0.00316,0.000202,0.0756,0.513,123.229,audio_features,spotify:track:64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/tracks/64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/audio-analysis/64BbK9SFKH2jk86U3dGj2P,255373.0,4.0,No
Let Me Entertain You,Robbie Williams,0.478,0.965,10.0,-5.022,1.0,0.0642,0.000169,0.00251,0.0854,0.347,125.152,audio_features,spotify:track:0SLtqCrXBRrnkxSOMA3X4W,https://api.spotify.com/v1/tracks/0SLtqCrXBRrnkxSOMA3X4W,https://api.spotify.com/v1/audio-analysis/0SLtqCrXBRrnkxSOMA3X4W,262000.0,4.0,No
Road Trippin',Red Hot Chili Peppers,0.378,0.474,4.0,-8.202,0.0,0.0271,0.28,0.00138,0.117,0.38,102.379,audio_features,spotify:track:7Gpr3kKk4BMgItz6UbI73q,https://api.spotify.com/v1/tracks/7Gpr3kKk4BMgItz6UbI73q,https://api.spotify.com/v1/audio-analysis/7Gpr3kKk4BMgItz6UbI73q,204960.0,4.0,No
Jesus He Knows Me,Genesis,0.579,0.888,3.0,-7.288,0.0,0.0435,0.53,1.93e-06,0.146,0.567,95.0,audio_features,spotify:track:0YN4BbP8czMk6QiL62qnWT,https://api.spotify.com/v1/tracks/0YN4BbP8czMk6QiL62qnWT,https://api.spotify.com/v1/audio-analysis/0YN4BbP8czMk6QiL62qnWT,256520.0,4.0,No
The Family Tree,Venice,0.34,0.104,3.0,-15.767,1.0,0.0336,0.811,0.0,0.0998,0.257,127.236,audio_features,spotify:track:5qxfB3e5ZjHYoNcMxPR2J7,https://api.spotify.com/v1/tracks/5qxfB3e5ZjHYoNcMxPR2J7,https://api.spotify.com/v1/audio-analysis/5qxfB3e5ZjHYoNcMxPR2J7,205133.0,4.0,No
Porcelain,Moby,0.297,0.634,0.0,-7.927,0.0,0.0335,0.00141,0.175,0.247,0.331,94.733,audio_features,spotify:track:5fJAYWoFgXm26HLNViFiUh,https://api.spotify.com/v1/tracks/5fJAYWoFgXm26HLNViFiUh,https://api.spotify.com/v1/audio-analysis/5fJAYWoFgXm26HLNViFiUh,241173.0,4.0,No
Unintended,Muse,0.487,0.279,6.0,-11.586,0.0,0.0265,0.647,0.00185,0.11,0.162,139.362,audio_features,spotify:track:6kyxQuFD38mo4S3urD2Wkw,https://api.spotify.com/v1/tracks/6kyxQuFD38mo4S3urD2Wkw,https://api.spotify.com/v1/audio-analysis/6kyxQuFD38mo4S3urD2Wkw,237027.0,4.0,No
LA Song,Beth Hart,0.765,0.624,7.0,-7.57,1.0,0.0365,0.0997,4.82e-05,0.0935,0.51,130.026,audio_features,spotify:track:0rxPuXU5yYBNEAq2EobOJx,https://api.spotify.com/v1/tracks/0rxPuXU5yYBNEAq2EobOJx,https://api.spotify.com/v1/audio-analysis/0rxPuXU5yYBNEAq2EobOJx,216760.0,4.0,No
The Dolphin's Cry,Live,0.342,0.792,5.0,-6.001,0.0,0.0391,0.000442,8.57e-06,0.142,0.431,149.744,audio_features,spotify:track:6FPnecQDKOWSAKDKBAZ7ZG,https://api.spotify.com/v1/tracks/6FPnecQDKOWSAKDKBAZ7ZG,https://api.spotify.com/v1/audio-analysis/6FPnecQDKOWSAKDKBAZ7ZG,264160.0,4.0,No
All Star,Smash Mouth,0.731,0.867,11.0,-5.881,1.0,0.032,0.0395,0.0,0.0861,0.776,104.019,audio_features,spotify:track:3cfOd4CMv2snFaKAnMdnvK,https://api.spotify.com/v1/tracks/3cfOd4CMv2snFaKAnMdnvK,https://api.spotify.com/v1/audio-analysis/3cfOd4CMv2snFaKAnMdnvK,200373.0,4.0,No
